id,left,top,right,bottom
"21003",6055664.88127748,3738882.96101881,6055895.82138516,3738682.96101881
"21002",6055664.88127748,3739082.96101881,6055895.82138516,3738882.96101881
"21005",6055664.88127748,3738482.96101881,6055895.82138516,3738282.96101881
"21004",6055664.88127748,3738682.96101881,6055895.82138516,3738482.96101881
"21007",6055664.88127748,3738082.96101881,6055895.82138516,3737882.96101881
"21006",6055664.88127748,3738282.96101881,6055895.82138516,3738082.96101881
"21009",6055664.88127748,3737682.96101881,6055895.82138516,3737482.96101881
"21008",6055664.88127748,3737882.96101881,6055895.82138516,3737682.96101881
"21011",6055664.88127748,3737282.96101881,6055895.82138516,3737082.96101881
"21010",6055664.88127748,3737482.96101881,6055895.82138516,3737282.96101881
"21013",6055664.88127748,3736882.96101881,6055895.82138516,3736682.96101881
"21012",6055664.88127748,3737082.96101881,6055895.82138516,3736882.96101881
"21015",6055664.88127748,3736482.96101881,6055895.82138516,3736282.96101881
"21014",6055664.88127748,3736682.96101881,6055895.82138516,3736482.96101881
"21017",6055664.88127748,3736082.96101881,6055895.82138516,3735882.96101881
"21016",6055664.88127748,3736282.96101881,6055895.82138516,3736082.96101881
"21019",6055664.88127748,3735682.96101881,6055895.82138516,3735482.96101881
"21018",6055664.88127748,3735882.96101881,6055895.82138516,3735682.96101881
"21021",6055664.88127748,3735282.96101881,6055895.82138516,3735082.96101881
"21020",6055664.88127748,3735482.96101881,6055895.82138516,3735282.96101881
"21023",6055664.88127748,3734882.96101881,6055895.82138516,3734682.96101881
"21022",6055664.88127748,3735082.96101881,6055895.82138516,3734882.96101881
"21025",6055664.88127748,3734482.96101881,6055895.82138516,3734282.96101881
"21024",6055664.88127748,3734682.96101881,6055895.82138516,3734482.96101881
"21027",6055664.88127748,3734082.96101881,6055895.82138516,3733882.96101881
"21026",6055664.88127748,3734282.96101881,6055895.82138516,3734082.96101881
"21029",6055664.88127748,3733682.96101881,6055895.82138516,3733482.96101881
"21028",6055664.88127748,3733882.96101881,6055895.82138516,3733682.96101881
"21031",6055664.88127748,3733282.96101881,6055895.82138516,3733082.96101881
"21030",6055664.88127748,3733482.96101881,6055895.82138516,3733282.96101881
"12869",6046658.21707813,3743282.96101881,6046889.1571858,3743082.96101881
"12871",6046658.21707813,3742882.96101881,6046889.1571858,3742682.96101881
"12870",6046658.21707813,3743082.96101881,6046889.1571858,3742882.96101881
"12873",6046658.21707813,3742482.96101881,6046889.1571858,3742282.96101881
"12872",6046658.21707813,3742682.96101881,6046889.1571858,3742482.96101881
"12875",6046658.21707813,3742082.96101881,6046889.1571858,3741882.96101881
"12874",6046658.21707813,3742282.96101881,6046889.1571858,3742082.96101881
"12877",6046658.21707813,3741682.96101881,6046889.1571858,3741482.96101881
"12876",6046658.21707813,3741882.96101881,6046889.1571858,3741682.96101881
"12879",6046658.21707813,3741282.96101881,6046889.1571858,3741082.96101881
"12878",6046658.21707813,3741482.96101881,6046889.1571858,3741282.96101881
"12880",6046658.21707813,3741082.96101881,6046889.1571858,3740882.96101881
"21075",6055838.08635824,3755582.96101881,6056069.02646592,3755382.96101881
"21077",6055838.08635824,3755182.96101881,6056069.02646592,3754982.96101881
"21076",6055838.08635824,3755382.96101881,6056069.02646592,3755182.96101881
"21079",6055838.08635824,3754782.96101881,6056069.02646592,3754582.96101881
"21078",6055838.08635824,3754982.96101881,6056069.02646592,3754782.96101881
"21081",6055838.08635824,3754382.96101881,6056069.02646592,3754182.96101881
"21080",6055838.08635824,3754582.96101881,6056069.02646592,3754382.96101881
"21083",6055838.08635824,3753982.96101881,6056069.02646592,3753782.96101881
"21082",6055838.08635824,3754182.96101881,6056069.02646592,3753982.96101881
"21085",6055838.08635824,3753582.96101881,6056069.02646592,3753382.96101881
"21084",6055838.08635824,3753782.96101881,6056069.02646592,3753582.96101881
"21087",6055838.08635824,3753182.96101881,6056069.02646592,3752982.96101881
"21086",6055838.08635824,3753382.96101881,6056069.02646592,3753182.96101881
"21089",6055838.08635824,3752782.96101881,6056069.02646592,3752582.96101881
"21088",6055838.08635824,3752982.96101881,6056069.02646592,3752782.96101881
"21091",6055838.08635824,3752382.96101881,6056069.02646592,3752182.96101881
"21090",6055838.08635824,3752582.96101881,6056069.02646592,3752382.96101881
"21093",6055838.08635824,3751982.96101881,6056069.02646592,3751782.96101881
"21092",6055838.08635824,3752182.96101881,6056069.02646592,3751982.96101881
"21095",6055838.08635824,3751582.96101881,6056069.02646592,3751382.96101881
"21094",6055838.08635824,3751782.96101881,6056069.02646592,3751582.96101881
"21097",6055838.08635824,3751182.96101881,6056069.02646592,3750982.96101881
"21096",6055838.08635824,3751382.96101881,6056069.02646592,3751182.96101881
"21099",6055838.08635824,3750782.96101881,6056069.02646592,3750582.96101881
"21098",6055838.08635824,3750982.96101881,6056069.02646592,3750782.96101881
"21101",6055838.08635824,3750382.96101881,6056069.02646592,3750182.96101881
"21100",6055838.08635824,3750582.96101881,6056069.02646592,3750382.96101881
"21103",6055838.08635824,3749982.96101881,6056069.02646592,3749782.96101881
"21102",6055838.08635824,3750182.96101881,6056069.02646592,3749982.96101881
"21105",6055838.08635824,3749582.96101881,6056069.02646592,3749382.96101881
"21104",6055838.08635824,3749782.96101881,6056069.02646592,3749582.96101881
"21107",6055838.08635824,3749182.96101881,6056069.02646592,3748982.96101881
"21106",6055838.08635824,3749382.96101881,6056069.02646592,3749182.96101881
"21109",6055838.08635824,3748782.96101881,6056069.02646592,3748582.96101881
"21108",6055838.08635824,3748982.96101881,6056069.02646592,3748782.96101881
"21111",6055838.08635824,3748382.96101881,6056069.02646592,3748182.96101881
"21110",6055838.08635824,3748582.96101881,6056069.02646592,3748382.96101881
"21113",6055838.08635824,3747982.96101881,6056069.02646592,3747782.96101881
"21112",6055838.08635824,3748182.96101881,6056069.02646592,3747982.96101881
"21115",6055838.08635824,3747582.96101881,6056069.02646592,3747382.96101881
"21114",6055838.08635824,3747782.96101881,6056069.02646592,3747582.96101881
"21117",6055838.08635824,3747182.96101881,6056069.02646592,3746982.96101881
"21116",6055838.08635824,3747382.96101881,6056069.02646592,3747182.96101881
"21119",6055838.08635824,3746782.96101881,6056069.02646592,3746582.96101881
"21118",6055838.08635824,3746982.96101881,6056069.02646592,3746782.96101881
"21121",6055838.08635824,3746382.96101881,6056069.02646592,3746182.96101881
"21120",6055838.08635824,3746582.96101881,6056069.02646592,3746382.96101881
"21123",6055838.08635824,3745982.96101881,6056069.02646592,3745782.96101881
"21122",6055838.08635824,3746182.96101881,6056069.02646592,3745982.96101881
"21125",6055838.08635824,3745582.96101881,6056069.02646592,3745382.96101881
"21124",6055838.08635824,3745782.96101881,6056069.02646592,3745582.96101881
"21127",6055838.08635824,3745182.96101881,6056069.02646592,3744982.96101881
"21126",6055838.08635824,3745382.96101881,6056069.02646592,3745182.96101881
"21129",6055838.08635824,3744782.96101881,6056069.02646592,3744582.96101881
"21128",6055838.08635824,3744982.96101881,6056069.02646592,3744782.96101881
"21131",6055838.08635824,3744382.96101881,6056069.02646592,3744182.96101881
"21130",6055838.08635824,3744582.96101881,6056069.02646592,3744382.96101881
"21133",6055838.08635824,3743982.96101881,6056069.02646592,3743782.96101881
"21132",6055838.08635824,3744182.96101881,6056069.02646592,3743982.96101881
"21135",6055838.08635824,3743582.96101881,6056069.02646592,3743382.96101881
"21134",6055838.08635824,3743782.96101881,6056069.02646592,3743582.96101881
"21137",6055838.08635824,3743182.96101881,6056069.02646592,3742982.96101881
"21136",6055838.08635824,3743382.96101881,6056069.02646592,3743182.96101881
"21139",6055838.08635824,3742782.96101881,6056069.02646592,3742582.96101881
"21138",6055838.08635824,3742982.96101881,6056069.02646592,3742782.96101881
"21141",6055838.08635824,3742382.96101881,6056069.02646592,3742182.96101881
"21140",6055838.08635824,3742582.96101881,6056069.02646592,3742382.96101881
"21143",6055838.08635824,3741982.96101881,6056069.02646592,3741782.96101881
"21142",6055838.08635824,3742182.96101881,6056069.02646592,3741982.96101881
"21145",6055838.08635824,3741582.96101881,6056069.02646592,3741382.96101881
"21144",6055838.08635824,3741782.96101881,6056069.02646592,3741582.96101881
"21147",6055838.08635824,3741182.96101881,6056069.02646592,3740982.96101881
"21146",6055838.08635824,3741382.96101881,6056069.02646592,3741182.96101881
"21149",6055838.08635824,3740782.96101881,6056069.02646592,3740582.96101881
"21148",6055838.08635824,3740982.96101881,6056069.02646592,3740782.96101881
"21151",6055838.08635824,3740382.96101881,6056069.02646592,3740182.96101881
"21150",6055838.08635824,3740582.96101881,6056069.02646592,3740382.96101881
"21153",6055838.08635824,3739982.96101881,6056069.02646592,3739782.96101881
"21152",6055838.08635824,3740182.96101881,6056069.02646592,3739982.96101881
"21155",6055838.08635824,3739582.96101881,6056069.02646592,3739382.96101881
"21154",6055838.08635824,3739782.96101881,6056069.02646592,3739582.96101881
"21157",6055838.08635824,3739182.96101881,6056069.02646592,3738982.96101881
"21156",6055838.08635824,3739382.96101881,6056069.02646592,3739182.96101881
"21159",6055838.08635824,3738782.96101881,6056069.02646592,3738582.96101881
"21158",6055838.08635824,3738982.96101881,6056069.02646592,3738782.96101881
"21161",6055838.08635824,3738382.96101881,6056069.02646592,3738182.96101881
"21160",6055838.08635824,3738582.96101881,6056069.02646592,3738382.96101881
"21163",6055838.08635824,3737982.96101881,6056069.02646592,3737782.96101881
"21162",6055838.08635824,3738182.96101881,6056069.02646592,3737982.96101881
