name,lon,lat,code,fclass,osm_id
دانشکده هنر و معماری دانشگاه یزد,54.366233964458225,31.894273327902983,2084,college,634093228
نامیا,54.38361024432561,31.84654283977695,2082,school,640248087
,54.38922205,31.815470899999998,2204,park,1359901709
مدرسه راهنمایی فرساد,54.38501879834521,31.88323176291422,2082,school,655209712
دانشکده بهداشت یزد,54.33786615963886,31.84336263839662,2084,college,655434744
کلانتری ۱۴,54.39023334267,31.837949634896287,2001,police,655991372
نمایندگی هپکو تیموری,54.38925853626117,31.83768254379382,2541,car_dealership,655991376
,54.382150182333085,31.85419882774722,2204,park,1359901709
مدرسه راهنمایی,54.40173880340441,31.89551520481099,2082,school,675124167
مدرسه دبستان,54.397458481689945,31.898495618658767,2082,school,675124208
کتابخانه شهدا حسن آباد,54.40815947927274,31.900079743633523,2007,library,675125434
کلینیک اکبری,54.378705616754296,31.840160571807605,2111,clinic,675141531
کلینیک امام رضا,54.38518284999999,31.844786149999994,2111,clinic,675141664
,54.402920200000004,31.8519743,2204,park,1359901709
باغچه ذهن,54.376737936860636,31.891337947648257,2204,park,675751949
دادگستری کل استان یزد,54.39561517047517,31.857205410981678,2009,courthouse,675756410
ستاد مبارزه با مواد مخدر استان یزد,54.38741030943694,31.920644262128636,2001,police,675830785
مجتمع آموزشی سیدالشهدا,54.38379970008619,31.87830605588995,2082,school,675840076
شرکت توزیع برق استان یزد,54.364680348530754,31.878173678152567,2008,town_hall,675848811
دانشکده علوم انسانی,54.33827272510002,31.834281771596896,2084,college,675967491
دانشگاه علم و هنر,54.33931928037941,31.834689682099818,2081,university,1097561855
بازار طلا کویتی,54.364231163700595,31.88739551966221,2016,market_place,676235903
بیمارستان شهید رهنمون (فرخی),54.36030704855187,31.88635917409599,2110,hospital,676236165
دادگستری یزد,54.357713327120415,31.88637353045218,2009,courthouse,676236414
,54.40580662726599,31.805700295665414,2204,park,1359901709
,54.401563230349645,31.82044774892245,2204,park,1359901709
,54.40125691250053,31.831719314582998,2204,park,1359901709
بوستان شهدا,54.38090775222477,31.917527918596498,2204,park,676291960
بوستان دانشجو,54.38386749174018,31.91561437347006,2204,park,676291962
پارک فخار,54.39647661159051,31.88558655620362,2204,park,676299100
تالار غدیر یزد,54.36127658808292,31.859405917281343,2008,town_hall,676588951
میوه و تربار قدیم,54.387174592365845,31.849384167658343,2016,market_place,677202792
هتل داد,54.36586377397445,31.885835807380076,2401,hotel,9436909
دبیرستان کیخسروی,54.377974056178196,31.877470343467664,2082,school,682131503
,54.39384465806273,31.859965917380354,2204,park,1359901709
,54.39331994154122,31.85948458390621,2204,park,1359901709
,54.39268676640381,31.85889818637796,2204,park,1359901709
مدرسه حجت,54.392124388527186,31.85784231218813,2082,school,693695349
کانون اصلاح و تربیت,54.38934116266779,31.86017108043397,2010,prison,693695638
